Age Range,Years of Experience,Industry,Job Title,Highest Level of Education Received,Country,Annual Salary,Annual Bonus,Signon Bonus,Gender
50-53,6,"Non profit ","community outreach ","Some College credit, no degree",USA,39000.00,0.00,0.00,Female
50-53,20+,Retail Manager,Department Manager,"High School Graduate, Diploma or the equivalent (e",USA,42000.00,0.00,0.00,Female
50-53,10,Tech sales,"Sales support ","Some College credit, no degree",USA,47500.00,0.00,0.00,Female
50-53,20+,Social work,Social worker,Master's Degree,USA,50000.00,0.00,0.00,Female
50-53,2,"Education ","Special education Teacher ",Master's Degree,USA,50000.00,0.00,0.00,Female
50-53,20+,Salea,Director of Sales,"High School Graduate, Diploma or the equivalent (e",USA,50000.00,0.00,0.00,Female
50-53,10,All,Admin Assistant - HR,Associate Degree,USA,52000.00,0.00,0.00,Female
50-53,3,"Community Management ",Portfolio Manager,Bachelor's Degree,USA,52000.00,0.00,0.00,Female
50-53,10,Tourism,Social Media Manager,Bachelor's Degree,USA,53000.00,0.00,0.00,Female
50-53,20+,Mortgage servicing,Supervisor,Bachelor's Degree,USA,55000.00,0.00,0.00,Female
50-53,15,Social Work,"Social Worker ",Bachelor's Degree,USA,59500.00,0.00,0.00,Female
50-53,17,Hazmat trainer,"Training director ",Master's Degree,USA,60000.00,0.00,0.00,Female
50-53,4,"Commercial Real Estate ",Property Manager,"Some College credit, no degree",USA,60382.40,0.00,0.00,Female
50-53,19,Education,Teacher,Master's Degree,USA,65000.00,0.00,0.00,Female
50-53,5,legal,"office manager ",Bachelor's Degree,USA,65000.00,0.00,0.00,Female
50-53,20+,"Graphic design ",Graphic designer,Bachelor's Degree,USA,65000.00,0.00,0.00,Female
50-53,10,Education,Asst Director,Master's Degree,USA,67000.00,0.00,0.00,Female
50-53,20+,Higher Ed,"Executive Assistant ","Some College credit, no degree",USA,72000.00,0.00,0.00,Female
50-53,20+,"Food and beverage ",Server,Bachelor's Degree,USA,73000.00,0.00,0.00,Female
50-53,20+,"Education ","School Counselor ",Master's Degree,USA,74000.00,0.00,0.00,Female
50-53,20+,"Entertaiment ","Technician ",Bachelor's Degree,CANADA,75000.00,0.00,0.00,Female
50-53,20+,"Mental health ","Psychotherapist ",Master's Degree,USA,75000.00,0.00,0.00,Female
50-53,20+,N/A,N/A,Bachelor's Degree,USA,75000.00,0.00,0.00,Female
50-53,20+,Finance,"Payroll Supervisor ",Associate Degree,USA,83000.00,0.00,0.00,Female
50-53,3,N/A,"Compliance ","Trade, Technical, Vocational Training",USA,85000.00,0.00,0.00,Female
50-53,16,"Education ",Teacher,Master's Degree,USA,86500.00,0.00,0.00,Female
50-53,20+,"Health care ","Physical therapist ",Master's Degree,USA,90000.00,0.00,NULL,Female
50-53,20+,Nursing,Case manager,Bachelor's Degree,USA,95000.00,0.00,0.00,Female
50-53,20+,"Education ","Bilingual/World Languages Coordinador ",Master's Degree,USA,95000.00,0.00,0.00,Female
50-53,20+,Education,BD,Master's Degree,USA,95000.00,0.00,0.00,Female
50-53,20+,IT,BUSAiness Analyst,"High School Graduate, Diploma or the equivalent (e",USA,98000.00,0.00,0.00,Female
50-53,20+,Higher Ed,"Associate Dean and Professor ",Doctorate Degree,USA,100000.00,0.00,0.00,Female
50-53,20+,health care,RNC,Associate Degree,USA,101000.00,0.00,0.00,Female
50-53,20+,Non profit,"CFO ",Bachelor's Degree,USA,104000.00,0.00,0.00,Female
50-53,20+,Finance,Accountant,Bachelor's Degree,USA,105000.00,0.00,0.00,Female
50-53,5,"Healthcare ","IT analyst ","Some College credit, no degree",USA,105000.00,0.00,0.00,Female
50-53,20+,Education,Teacher,Master's Degree,USA,107000.00,0.00,0.00,Female
50-53,20+,Higher Education,"Assistant Vice President, Information Technology",Master's Degree,USA,108000.00,0.00,0.00,Female
50-53,20+,"Education ","School counselor ",Master's Degree,USA,110000.00,0.00,0.00,Female
50-53,20+,"Financial services ","Marketing director ",Master's Degree,USA,110000.00,0.00,0.00,Female
50-53,20+,Technology,Sales Operations Manager,Associate Degree,USA,112000.00,0.00,0.00,Female
50-53,20+,IT,Sr project manager,Master's Degree,USA,120000.00,0.00,0.00,Female
50-53,20+,Tech,Sr Program Manager,"Some College credit, no degree",USA,121000.00,0.00,0.00,Female
50-53,14,"Insurance ",Claims,Doctorate Degree,USA,125000.00,0.00,0.00,Female
50-53,20+,Accounting,Controller,"Some College credit, no degree",USA,130000.00,0.00,3000.00,Female
50-53,15,IT,Data Analyst,Bachelor's Degree,USA,130000.00,0.00,0.00,Female
50-53,20+,"Financial technology ","Sr technical consultant ","High School Graduate, Diploma or the equivalent (e",USA,131000.00,0.00,0.00,Female
50-53,15,Defense,Sr manager,Master's Degree,USA,135000.00,0.00,0.00,Female
50-53,15,N/A,"Technical Project Manager ",Bachelor's Degree,USA,135000.00,0.00,0.00,Female
50-53,20+,"Design ",Recruiter,Bachelor's Degree,USA,160000.00,0.00,0.00,Female
50-53,10,IT,Sr. Recruiter,Bachelor's Degree,USA,165000.00,0.00,0.00,Female
50-53,20+,"Fintech ",N/A,"Some High School, No Diploma",USA,203000.00,0.00,0.00,Female
50-53,20+,"Advertising ","Recruiting Director ",Bachelor's Degree,USA,250000.00,0.00,0.00,Female
50-53,13,Medicine,Neurosurgery,Doctorate Degree,AUSTRALIA,650000.00,0.00,0.00,Female
50-53,20+,Financial Services,Product Manager,Bachelor's Degree,USA,250000.00,0.00,75000.00,Female
50-53,20+,Banking,Director of Retail Bank,"High School Graduate, Diploma or the equivalent (e",USA,185000.00,0.00,NULL,Female
50-53,4,"Education ","BUSAiness Teacher ",Master's Degree,USA,54000.00,0.00,NULL,Female
50-53,20+,"Medical ","Program Coordinator ",Associate Degree,USA,60000.00,0.00,NULL,Female
50-53,20+,"Education ","Administration ",Master's Degree,USA,99000.00,0.00,0.00,Female
50-53,20+,Sales,Sales person,"Some College credit, no degree",USA,100000.00,0.00,NULL,Female
50-53,11,Health Care,Registered Nurse,Associate Degree,USA,218000.00,0.00,0.00,Female
50-53,5,"Medical Devices ","Associate Engineer ","Some College credit, no degree",USA,88000.00,0.07,0.00,Female
50-53,20+,"Insurance ",Manager,Associate Degree,USA,96000.00,0.10,0.00,Female
50-53,20+,Financial services,Financial literacy manager,"Some College credit, no degree",USA,103000.00,0.10,0.00,Female
50-53,20+," FINANCE",BUSAiness Intelligence Analyst,"Some College credit, no degree",USA,87000.00,0.13,NULL,Female
